ID,Edad,Genero,Ingresos Anuales,Gasto Mensual,Puntuación de Crédito,Región,Comportamiento en linea,Compras en el ultimo año
182,58,Femenino,1351329,28015,520,Norte,10,141
183,21,Femenino,269000,1232,356,Sur,8,41
184,20,Masculino,152939,5567,348,Sur,7,67
185,35,Masculino,1433097,24311,811,Oeste,9,90
186,23,Femenino,187458,1375,335,Sur,8,43
187,50,Femenino,1722294,19525,726,Este,9,116
188,30,Masculino,115374,2714,438,Oeste,6,50
189,56,Femenino,985797,27417,918,Norte,3,8
190,22,Femenino,159294,4229,446,Oeste,10,65
191,64,Masculino,663678,8253,848,Sur,3,6
192,56,Masculino,502687,16705,877,Este,1,2
193,51,Masculino,1542373,20245,650,Oeste,8,85
194,27,Masculino,202331,3959,339,Oeste,8,55
195,57,Femenino,1042973,38619,552,Este,8,89
196,27,Femenino,112392,5851,412,Norte,8,98
197,52,Femenino,843642,11808,993,Oeste,3,1
198,28,Femenino,135498,1999,314,Este,7,64
199,68,Masculino,971716,23906,804,Sur,2,3
200,28,Masculino,128428,2479,321,Sur,9,45
201,24,Femenino,242130,3472,427,Oeste,8,74
202,32,Femenino,1393915,19700,594,Sur,9,126
203,42,Masculino,1669515,24954,774,Oeste,8,140
204,50,Femenino,731823,9343,986,Oeste,2,7
205,42,Femenino,1986125,30301,696,Oeste,9,147
206,59,Masculino,804878,29972,604,Sur,9,83
207,18,Masculino,206193,2005,488,Oeste,6,62
208,44,Femenino,928053,24416,633,Este,9,147
209,70,Femenino,1109242,21656,823,Sur,3,10
210,21,Masculino,187422,3397,363,Oeste,10,61
211,69,Femenino,997196,5842,963,Oeste,3,8
212,59,Masculino,1573550,36670,847,Este,9,76
213,64,Masculino,433137,25524,810,Norte,2,9
214,53,Masculino,260271,5652,817,Norte,3,7
215,53,Masculino,776562,13396,887,Sur,2,10
216,53,Masculino,933715,17801,874,Sur,1,8
217,48,Femenino,1502051,27367,404,Oeste,9,144
218,57,Femenino,770368,11111,889,Oeste,3,7
219,40,Femenino,1438409,29149,640,Sur,9,125
220,56,Masculino,1158453,29583,839,Norte,3,5
221,70,Masculino,1013265,27270,949,Sur,2,9
222,50,Femenino,952668,10551,814,Norte,2,2
223,53,Femenino,993260,8200,872,Norte,3,2
224,53,Masculino,1661153,36770,553,Sur,9,113
225,55,Femenino,1203145,41254,588,Este,9,86
226,69,Femenino,1024563,18680,935,Norte,3,3
227,25,Femenino,187409,3947,449,Sur,10,82
228,54,Femenino,720291,32729,511,Norte,9,138
229,52,Masculino,972197,32338,517,Sur,9,149
230,50,Masculino,1879674,33365,410,Este,9,93
231,26,Femenino,170918,2199,475,Este,8,83
232,63,Masculino,308096,11299,855,Sur,2,7
233,54,Masculino,978711,11090,849,Sur,1,10
234,59,Masculino,931092,28130,918,Norte,2,5
235,49,Masculino,1709079,28816,532,Norte,10,93
236,55,Femenino,1094802,25388,957,Norte,1,8
237,19,Masculino,110095,2159,381,Este,7,40
238,33,Femenino,1408515,23203,723,Sur,9,147
239,26,Masculino,141437,2831,334,Sur,9,27
240,56,Femenino,1491489,44450,814,Norte,8,79
241,22,Femenino,256369,5657,467,Oeste,6,81
242,45,Masculino,1916483,19570,709,Oeste,10,82
243,48,Femenino,1188976,36358,647,Norte,10,99
244,52,Femenino,578408,17562,845,Sur,2,10
245,44,Masculino,776216,36893,823,Oeste,8,142
246,57,Masculino,773354,23433,804,Sur,3,10
247,25,Masculino,213855,4620,447,Sur,8,38
248,22,Femenino,100797,2065,340,Norte,7,43
249,30,Femenino,133657,1891,466,Norte,6,97
250,59,Femenino,1571968,36049,600,Este,9,108
251,43,Masculino,1291719,28854,810,Este,9,78
252,57,Masculino,1564510,30640,836,Norte,9,123
253,51,Femenino,910174,31291,579,Norte,10,136
254,20,Masculino,113614,2566,342,Norte,6,19
255,36,Masculino,906581,22418,811,Norte,8,91
256,22,Masculino,269079,3143,305,Norte,8,36
257,27,Femenino,239965,2250,344,Norte,9,96
258,18,Masculino,170229,1404,470,Sur,7,71
259,19,Femenino,220996,2764,301,Sur,9,58
260,61,Femenino,1180094,6634,838,Oeste,1,1
261,22,Femenino,262966,4995,351,Oeste,10,82
262,46,Masculino,1426591,21661,444,Este,8,147
263,47,Masculino,1119569,20421,753,Norte,9,132
264,67,Femenino,423244,24969,812,Norte,2,9
265,70,Masculino,800960,23897,879,Oeste,1,4
266,25,Femenino,202364,2119,454,Norte,10,64
267,67,Femenino,844332,19622,815,Sur,1,5
268,30,Masculino,181843,5615,370,Este,8,56
269,27,Femenino,234291,2645,498,Norte,6,73
270,57,Femenino,1167668,30360,612,Oeste,8,140
271,22,Masculino,109558,1534,459,Sur,7,23
272,60,Masculino,1842452,40523,638,Oeste,8,135
273,33,Femenino,1577941,22644,723,Oeste,9,115
274,19,Femenino,214543,1242,476,Sur,9,68
275,50,Masculino,734496,28144,973,Norte,2,6
276,28,Masculino,128800,2274,367,Este,8,80
277,41,Femenino,1990951,41491,841,Oeste,8,92
278,20,Femenino,125869,4639,400,Sur,6,39
279,51,Masculino,1124395,29313,811,Oeste,8,105
280,29,Femenino,140844,1628,476,Este,6,93
281,31,Masculino,1386989,44319,778,Sur,9,84
282,43,Femenino,1879308,18125,820,Este,8,90
283,58,Femenino,816509,16812,960,Norte,2,9
284,53,Femenino,569952,7725,916,Sur,2,2
285,41,Femenino,733799,15320,488,Sur,9,82
286,54,Femenino,746420,42676,613,Norte,9,116
287,52,Femenino,932911,5198,817,Oeste,2,7
288,57,Masculino,1638102,36451,724,Norte,8,129
289,42,Masculino,737977,23090,739,Este,9,77
290,23,Femenino,249792,4932,309,Oeste,6,97
291,28,Femenino,112211,2383,397,Oeste,10,33
292,35,Femenino,1848198,25303,425,Norte,8,104
293,28,Femenino,108754,5493,432,Sur,7,60
294,52,Masculino,786830,34939,722,Este,10,90
295,20,Femenino,273049,5004,350,Norte,6,62
296,28,Femenino,156302,5856,453,Norte,6,21
297,47,Femenino,1810423,33016,556,Norte,9,146
298,19,Masculino,104286,2869,342,Oeste,6,88
299,58,Masculino,701988,23792,951,Oeste,1,1
300,21,Masculino,132391,4568,426,Este,6,44
301,54,Femenino,897101,24220,975,Oeste,2,10
302,61,Femenino,591403,21440,942,Sur,2,10
303,27,Femenino,245196,1067,413,Sur,8,36
304,53,Masculino,1169028,19858,886,Oeste,1,10
305,59,Femenino,1891409,18804,711,Este,9,134
306,29,Femenino,203972,4710,443,Este,8,74
307,20,Masculino,148183,2479,305,Norte,8,15
308,21,Masculino,208785,1392,321,Norte,6,25
309,69,Masculino,411917,25328,896,Sur,3,4
310,55,Femenino,1196486,18792,807,Oeste,3,8
311,25,Femenino,210140,5126,318,Este,9,51
312,62,Masculino,1065295,19335,959,Este,1,2
313,33,Femenino,1818115,36094,633,Oeste,9,107
314,56,Masculino,397851,9447,808,Este,3,9
315,54,Masculino,734662,10449,848,Norte,2,3
316,52,Masculino,700419,14474,834,Oeste,2,2
317,26,Femenino,120459,4893,366,Oeste,10,29
318,22,Masculino,224957,2907,448,Oeste,10,61
319,57,Masculino,398426,21357,823,Norte,1,8
320,28,Masculino,231865,5148,351,Oeste,6,59
321,53,Femenino,995070,29039,643,Este,9,100
322,50,Femenino,1488433,32160,506,Oeste,9,85
323,66,Femenino,469854,15190,862,Norte,2,5
324,59,Femenino,1078564,8376,830,Norte,2,8
325,38,Masculino,1140925,39596,576,Sur,8,150
326,55,Femenino,617429,14565,981,Sur,1,1
327,23,Femenino,125489,4988,316,Este,10,76
328,43,Femenino,1073672,36906,480,Sur,8,105
329,45,Masculino,1044831,41945,527,Este,9,84
330,20,Femenino,211257,3794,372,Sur,8,72
331,58,Masculino,807917,18903,941,Sur,2,7
332,19,Femenino,116802,4276,362,Oeste,10,83
333,35,Masculino,1928158,38333,531,Norte,9,102
334,54,Femenino,1012672,7539,825,Oeste,2,8
335,70,Masculino,809238,17956,968,Este,3,8
336,30,Femenino,252249,3863,439,Sur,6,90
337,23,Femenino,134577,1436,440,Este,7,71
338,70,Femenino,1172210,5320,887,Este,2,8
339,31,Femenino,835917,33825,434,Oeste,10,92
340,38,Masculino,1837820,22846,689,Este,8,146
341,21,Femenino,172246,2896,336,Oeste,10,56
342,46,Femenino,1554458,27110,783,Sur,8,133
343,33,Masculino,855628,31258,518,Este,10,95
344,66,Femenino,1192744,28884,861,Este,3,1
345,57,Masculino,536128,6186,915,Sur,3,9
346,54,Femenino,537416,12343,924,Oeste,1,7
347,68,Femenino,641360,17304,973,Este,3,6
348,23,Masculino,157285,3579,343,Norte,7,91
349,70,Masculino,569866,26185,815,Oeste,1,6
350,60,Masculino,583102,26322,896,Sur,1,2
351,21,Masculino,177576,1122,363,Este,10,34
352,59,Masculino,479138,12074,876,Norte,3,1
353,49,Femenino,1223166,42502,544,Este,8,99
354,24,Femenino,250845,2297,480,Este,9,40
355,30,Masculino,173534,3967,466,Norte,7,43
356,50,Masculino,797452,18569,994,Este,2,1
357,18,Masculino,211046,4495,314,Norte,8,78
358,52,Femenino,744536,31644,564,Este,9,84
359,66,Femenino,864938,5599,964,Oeste,1,8
360,36,Femenino,880465,36302,790,Sur,9,90
361,18,Femenino,224489,2636,475,Norte,7,48
362,56,Masculino,888075,44051,822,Sur,10,82
363,21,Femenino,262197,3516,317,Sur,7,40
364,20,Femenino,270602,3064,498,Sur,10,83
365,48,Femenino,724429,16403,428,Este,10,140
366,28,Femenino,119220,3260,333,Norte,7,56
367,21,Masculino,207192,5781,416,Oeste,7,81
368,45,Femenino,1831193,35515,449,Sur,8,115
369,24,Femenino,210337,1716,420,Este,8,68
370,25,Femenino,183305,5036,362,Sur,8,71
371,66,Femenino,925387,26150,844,Oeste,1,7
372,58,Masculino,918565,19210,845,Sur,2,7
373,51,Femenino,1219645,30839,542,Oeste,8,75
374,53,Femenino,795525,29786,594,Norte,9,105
375,47,Masculino,1219931,30123,415,Oeste,10,85
376,35,Masculino,1190498,25101,535,Oeste,8,102
377,21,Femenino,122472,5990,406,Norte,10,22
378,59,Masculino,1178648,9302,896,Sur,3,6
379,64,Femenino,779492,12011,936,Sur,1,9
380,64,Femenino,389512,9887,972,Oeste,1,9
381,26,Masculino,119492,4130,407,Oeste,7,46
382,28,Femenino,125172,3745,377,Este,6,71
383,25,Masculino,148369,3092,332,Oeste,10,31
384,25,Femenino,127956,1826,300,Sur,7,55
385,52,Masculino,1804654,24490,697,Sur,10,147
386,22,Masculino,155674,2232,337,Oeste,8,25
387,51,Masculino,1021041,17245,809,Oeste,2,2
388,43,Femenino,1091920,17340,603,Norte,8,115
389,27,Masculino,158193,5717,427,Oeste,10,27
390,25,Femenino,216304,3276,383,Este,8,74
391,20,Femenino,107627,1229,325,Norte,6,65
392,21,Masculino,211691,2420,454,Oeste,10,68
393,25,Femenino,125727,3964,479,Oeste,9,88
394,51,Femenino,1055089,22450,461,Norte,8,134
395,53,Femenino,1036042,6757,936,Sur,3,8
396,52,Masculino,1339094,22876,559,Norte,9,112
397,64,Femenino,754668,10309,875,Oeste,3,1
398,29,Femenino,246520,2807,408,Norte,7,57
399,26,Masculino,129335,4927,373,Norte,6,99
400,58,Femenino,479315,28746,973,Oeste,2,5
401,59,Masculino,711499,20517,814,Este,1,9
402,69,Masculino,882845,6079,824,Oeste,1,6
403,62,Femenino,396932,11805,915,Sur,1,1
404,68,Masculino,497596,27466,919,Oeste,3,2
405,20,Masculino,120599,3892,342,Norte,7,36
406,63,Femenino,831704,15933,944,Este,1,4
407,68,Femenino,892176,5412,931,Sur,2,2
408,57,Femenino,1436320,31700,745,Este,10,117
409,44,Masculino,1626913,19105,702,Sur,8,118
410,43,Femenino,1512612,31838,674,Sur,8,88
411,21,Masculino,115081,4941,370,Este,9,22
412,27,Femenino,177843,5991,386,Norte,9,52
413,62,Femenino,649615,26286,860,Sur,1,6
414,43,Femenino,1389292,16329,589,Sur,8,115
415,56,Masculino,494312,18455,846,Norte,2,2
416,54,Femenino,1696607,39802,664,Sur,8,92
417,68,Femenino,1068647,13989,914,Oeste,1,10
418,23,Femenino,106833,4712,363,Oeste,8,74
419,55,Masculino,1816884,43713,673,Este,8,126
420,43,Femenino,1871065,35943,541,Norte,10,101
421,46,Masculino,1523888,39459,409,Norte,10,146
422,27,Femenino,112954,2861,402,Norte,8,27
423,19,Femenino,220936,2330,340,Sur,6,84
424,54,Masculino,1963456,32172,731,Sur,9,86
425,21,Masculino,254810,2114,433,Sur,8,78
426,55,Masculino,513363,14173,958,Sur,3,5
427,64,Femenino,1075855,26682,961,Norte,3,4
428,50,Femenino,867606,36308,832,Oeste,9,150
429,24,Masculino,195099,2619,391,Sur,6,97
430,27,Femenino,250963,1589,373,Sur,10,37
431,41,Femenino,1448528,33726,755,Oeste,8,117
432,65,Femenino,918889,11257,997,Sur,2,6
433,25,Femenino,192353,5765,314,Este,7,80
434,56,Masculino,1017747,17239,887,Norte,3,4
435,18,Femenino,253993,1556,394,Sur,6,76
436,25,Femenino,121690,5408,327,Sur,8,78
437,50,Femenino,1593479,20068,587,Sur,8,122
438,60,Femenino,1547440,29640,446,Este,8,135
439,60,Femenino,1035829,11504,930,Oeste,1,3
440,25,Femenino,193698,5962,409,Norte,6,84
441,18,Femenino,177277,5349,481,Este,10,95
442,19,Femenino,237078,2097,316,Norte,7,81
443,25,Masculino,149609,2980,435,Norte,9,38
444,59,Masculino,1626072,26210,594,Este,9,83
445,41,Femenino,823440,23449,565,Oeste,9,77
446,21,Masculino,177941,1253,480,Sur,9,26
447,26,Masculino,228070,4765,329,Oeste,8,95
448,34,Femenino,1888911,35947,529,Oeste,8,144
449,36,Femenino,1063497,17143,606,Oeste,9,120
450,23,Femenino,168008,3968,429,Este,10,89
451,21,Femenino,133486,4801,455,Norte,8,76
452,57,Femenino,1120851,20577,893,Sur,3,6
453,18,Femenino,102689,1427,367,Este,6,68
454,18,Femenino,110095,2548,451,Este,9,98
455,64,Femenino,1152108,21553,967,Este,2,10
456,57,Femenino,1081641,17123,643,Oeste,10,125
457,55,Masculino,308130,14443,882,Sur,3,10
458,58,Femenino,740977,15351,900,Norte,3,4
459,42,Femenino,812082,44523,823,Oeste,8,150
460,26,Femenino,117473,1336,465,Oeste,8,39
461,64,Masculino,1086177,25535,824,Norte,1,7
462,65,Masculino,825653,10785,836,Sur,2,9
463,25,Femenino,124470,5201,333,Norte,6,67
464,68,Masculino,423883,24455,952,Oeste,1,10
465,32,Masculino,800823,26197,776,Sur,10,84
466,53,Femenino,258182,5372,878,Este,3,5
467,42,Masculino,1032518,25747,748,Sur,8,92
468,50,Masculino,1896533,20699,673,Norte,8,95
469,64,Femenino,537044,27002,976,Norte,3,5
470,30,Masculino,104602,1339,500,Sur,6,90
471,40,Masculino,911955,26841,786,Oeste,9,85
472,60,Masculino,379397,18983,898,Este,3,10
473,34,Masculino,1575508,24238,787,Este,9,120
474,26,Masculino,140870,2846,486,Norte,6,50
475,56,Femenino,1110798,13739,922,Este,3,2
476,21,Femenino,276237,4585,410,Este,9,57
477,48,Femenino,1638475,43683,687,Este,10,109
478,20,Femenino,131637,4011,458,Oeste,7,83
479,24,Femenino,265367,2299,313,Norte,9,67
480,23,Femenino,117555,2208,380,Sur,10,55
481,25,Femenino,137526,5882,472,Sur,9,15
482,57,Femenino,849906,27785,941,Sur,3,8
483,59,Masculino,262479,24852,846,Este,2,9
484,44,Masculino,1696156,19486,733,Sur,9,90
485,24,Femenino,113212,3124,300,Este,6,64
486,26,Femenino,259801,1895,426,Sur,10,83
487,68,Masculino,550608,10794,851,Este,2,6
488,27,Femenino,209541,3980,460,Norte,6,29
489,29,Femenino,173142,4507,364,Este,8,71
490,44,Masculino,797685,20751,625,Este,10,80
491,25,Femenino,211633,4672,464,Sur,7,29
492,68,Femenino,956967,8875,849,Oeste,2,3
493,55,Femenino,1524908,44114,833,Norte,10,145
494,31,Femenino,1937364,18137,647,Norte,10,123
495,27,Masculino,101019,2182,431,Este,8,27
496,63,Masculino,386109,20958,938,Oeste,1,6
497,22,Femenino,239426,2244,320,Norte,9,70
498,32,Femenino,1473693,30144,722,Este,8,122
499,50,Femenino,376437,18565,851,Norte,3,5
500,61,Masculino,304015,10157,979,Sur,1,9
501,57,Masculino,470616,17740,877,Oeste,1,8
502,64,Femenino,1187941,9448,927,Este,3,4
503,61,Femenino,720264,12643,973,Este,3,7
504,55,Femenino,744627,44254,717,Norte,10,121
505,61,Masculino,415380,12584,892,Este,3,7
506,66,Masculino,1069743,8179,985,Sur,3,10
507,27,Masculino,120059,3511,459,Oeste,9,64
508,54,Femenino,1192447,18782,954,Norte,2,10
509,67,Femenino,295858,20955,972,Este,1,1
510,19,Masculino,259320,5637,435,Norte,10,81
511,33,Femenino,1190361,37989,781,Norte,10,115
512,59,Femenino,1476646,41829,452,Norte,10,108
513,60,Femenino,775318,24440,896,Este,1,10
514,54,Femenino,767662,6657,982,Este,2,5
515,50,Masculino,832952,36068,732,Este,9,138
516,26,Masculino,205961,4510,462,Sur,7,47
517,54,Femenino,752971,28240,985,Oeste,2,1
518,69,Femenino,634109,6780,813,Norte,1,2
519,30,Masculino,1181306,29670,820,Norte,8,95
520,57,Masculino,935187,40931,623,Oeste,10,146
521,51,Masculino,558983,15488,858,Este,1,5
522,53,Masculino,1142743,29965,918,Oeste,1,9
523,22,Masculino,189188,5091,343,Este,8,90
524,21,Femenino,123647,5009,499,Este,10,72
525,60,Femenino,1664895,37236,698,Sur,10,107
526,51,Femenino,967220,44338,656,Este,9,117
527,40,Femenino,1424489,24753,658,Este,8,87
528,56,Masculino,745087,24369,927,Oeste,3,1
529,55,Masculino,369535,16521,855,Norte,3,7
530,55,Masculino,288186,13630,855,Norte,3,3
531,66,Femenino,626386,25896,814,Oeste,1,3
532,22,Femenino,119080,1637,315,Sur,8,34
533,29,Masculino,258825,1322,486,Este,7,51
534,54,Masculino,1270071,42169,789,Este,9,120
535,69,Femenino,1037131,9634,869,Norte,2,5
536,18,Femenino,154619,4463,325,Sur,10,35
537,58,Femenino,778931,38159,444,Sur,10,82
538,24,Masculino,144517,4536,449,Este,10,22
539,68,Masculino,1105595,14282,971,Norte,1,1
540,21,Masculino,165997,2336,303,Este,7,82
541,44,Femenino,1189986,19951,567,Norte,9,126
542,66,Masculino,513034,29209,901,Sur,1,2
543,65,Masculino,882502,14169,935,Oeste,2,6
544,21,Masculino,275798,1700,353,Sur,9,89
545,67,Femenino,1043773,23359,837,Norte,3,10
546,19,Femenino,260413,2216,324,Oeste,6,63
